dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id,inertia,kernel,param_m,param_alpha,preprocessing,n_features_orig,n_features_reduced
pen-based,Agglomerative,4.0,manhattan,single,0.1932365829998161,0.1932743329962249,-1.377217777893402e-06,0.104348617176128,0.7580118300492239,0.1820539485485184,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,cosine,single,0.5176645409956109,0.5177134170080535,1.7883423316108607e-06,0.104348617176128,0.8623771363654009,0.1820551389446201,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,euclidean,complete,0.9530185829789845,0.9530727500095963,0.209219293202358,0.3260553129548763,1.8458688312177791,0.3931522406241967,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,manhattan,complete,0.9683720830071252,0.968418667005608,0.190300906659032,0.3569868995633188,1.8051326418084104,0.4188102925482036,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,cosine,complete,1.1329966250050347,1.133062416978646,0.2537284508689065,0.3785480349344978,1.6207737593164346,0.4399476038566259,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,euclidean,average,1.0070967080246191,1.00716104201274,0.1918601943856886,0.3045851528384279,1.282984546610852,0.3829969616341019,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,manhattan,average,0.9661557500076016,0.9662104159942828,0.0615535659515836,0.1991448326055312,1.152455410903978,0.2868503716865616,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,cosine,average,1.1456018750031944,1.145632250001654,0.199920812959445,0.3094068413391557,1.355593667106507,0.383180746223937,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,euclidean,single,0.2274085000099148,0.2274670839833561,-2.9361283711561825e-06,0.1044395924308588,0.7593239995872711,0.1820518626467909,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,manhattan,single,0.1921042090107221,0.1921668330032844,-1.409150770729942e-05,0.1053493449781659,0.9200177220962904,0.1820309851607464,,,,,,,,,,Original,,
pen-based,Agglomerative,5.0,cosine,single,0.5223468750191387,0.5224123329971917,2.299438521156028e-07,0.1044395924308588,0.8496491376819598,0.1820530531315224,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,euclidean,complete,0.976664832996903,0.9767297499929556,0.236173993724335,0.3765465793304221,1.7836410679703067,0.4360646208395753,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,manhattan,complete,0.9757800420047716,0.975846665998688,0.1920287922954674,0.3644468704512372,1.6799146940167309,0.420694032912591,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,cosine,complete,1.1426569999894127,1.1426820410124492,0.2401708774738463,0.3785480349344978,1.738203803624916,0.4110906191151146,,,,,,,,,,Original,,
