dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
mushroom,PCA_2D,111,2,Kernel_KMeans,6,0,819.9574621717503,3.9899293333292007,0.1261792211992717,0.4553175775480059,0.6822073655873296,0.4260994992887785
mushroom,PCA_2D,111,2,Kernel_KMeans,7,0,718.9125926816896,6.824962334241718,0.1369699882460302,0.4793205317577548,0.7063831790557764,0.4268622243837096
mushroom,PCA_2D,111,2,Kernel_KMeans,8,0,667.0358421959419,5.856058666948229,0.1342090821466844,0.4775972427375677,0.7015871416273892,0.4248531981773763
mushroom,PCA_2D,111,2,Kernel_KMeans,9,0,657.6456636761015,4.735066041816026,0.1260352376588883,0.4697193500738552,0.6170379522211503,0.4157750002767463
mushroom,PCA_2D,111,2,Kernel_KMeans,10,0,528.0884391613115,4.869919958058745,0.172438298972037,0.5214180206794683,0.6464692882318135,0.4595693504578228
mushroom,PCA_3D,111,3,Kernel_KMeans,2,0,4502.780833265774,1.224655999802053,0.0824996514004486,0.3874938453963564,1.0737048960287707,0.4316253080744119
mushroom,PCA_3D,111,3,Kernel_KMeans,3,0,3217.03883228019,1.433419625274837,0.0991555033659734,0.3874938453963564,0.507927146037655,0.4377453179319054
mushroom,PCA_3D,111,3,Kernel_KMeans,4,0,2153.716841863674,1.6074162917211652,0.2461924738626863,0.551944854751354,0.5479101341529079,0.5582235339590876
mushroom,PCA_3D,111,3,Kernel_KMeans,5,0,1566.3534869154005,4.324971583671868,0.2560864083390552,0.551944854751354,0.6300603393845885,0.5713542728747482
mushroom,PCA_3D,111,3,Kernel_KMeans,6,0,1460.4466086946895,4.7749450001865625,0.2538945253241444,0.551944854751354,0.873569130246984,0.5558001147678623
mushroom,PCA_3D,111,3,Kernel_KMeans,7,0,1150.463779519257,3.6986032496206462,0.2931843281183288,0.5551452486459872,0.8094009694274786,0.571124975532253
mushroom,PCA_3D,111,3,Kernel_KMeans,8,0,1022.3201761603376,4.43585787480697,0.2778578778260168,0.5539143279172821,0.9236445849015396,0.5452885709183273
mushroom,PCA_3D,111,3,Kernel_KMeans,9,0,917.29757745624,4.419103874824941,0.2866117813463343,0.5627769571639586,0.8826918044908523,0.5465822248629876
mushroom,PCA_3D,111,3,Kernel_KMeans,10,0,819.9438137864151,3.820298042148352,0.2942260930540846,0.5929345150172329,0.812995965526528,0.546117031108719
mushroom,PCA_5D,111,5,Kernel_KMeans,2,0,4901.381645471715,3.1940802917815745,0.0833825883020693,0.3874938453963564,1.2906977024692123,0.4327395673971827
mushroom,PCA_5D,111,5,Kernel_KMeans,3,0,4181.993981453661,1.4396950001828372,0.105519223869193,0.4820285573609059,1.0486201701248818,0.4674623400082505
mushroom,PCA_5D,111,5,Kernel_KMeans,4,0,2949.8132322130523,1.3983601671643555,0.1260840488289293,0.4820285573609059,0.6732645009645131,0.4737290358588624
mushroom,PCA_5D,111,5,Kernel_KMeans,5,0,2015.601771526161,1.293692084029317,0.2272645922446562,0.5518217626784835,0.7257573047605037,0.5372801146145848
mushroom,PCA_5D,111,5,Kernel_KMeans,6,0,1545.72496599422,1.2738344590179622,0.2682144297325609,0.5518217626784835,0.6447773152702575,0.550261774265704
mushroom,PCA_5D,111,5,Kernel_KMeans,7,0,1292.8798170836203,1.532748083118349,0.2935013708883002,0.5636386016740522,0.695396958618877,0.568678842656015
mushroom,PCA_5D,111,5,Kernel_KMeans,8,0,1166.1936312477983,1.668720165733248,0.3013045150090733,0.587149187592319,0.7303504112047077,0.5742292997728915
mushroom,PCA_5D,111,5,Kernel_KMeans,9,0,1071.3267363234218,1.660101625137031,0.304101056114653,0.6009354997538159,0.7686191771409567,0.5694569726757731
mushroom,PCA_5D,111,5,Kernel_KMeans,10,0,1001.8736566126678,1.6405760422348976,0.3053288584801464,0.6056129985228951,0.7950825537592291,0.5706616905606218
adult,PCA_2D,105,2,KMeans_FEKM,2,0,22347.734174584555,8.914035874884576,0.1799041039987715,0.7607182343065395,0.5471796178423866,0.7357686020996449
adult,PCA_2D,105,2,KMeans_FEKM,3,0,8530.808418690149,6.495964458212256,0.0427122311489859,0.7607182343065395,0.537605113480368,0.5489388062948077
adult,PCA_2D,105,2,KMeans_FEKM,4,0,4497.099797813581,3.261699666734785,0.008003991141173,0.7607182343065395,0.4729739238686192,0.4891174861046299
adult,PCA_2D,105,2,KMeans_FEKM,5,0,2804.647622881621,3.2000418747775257,-0.0100362519845398,0.7607182343065395,0.4645948652768411,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,6,0,1802.6518606397904,6.4720702092163265,-0.0060504468795982,0.7607182343065395,0.4403040274625504,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,7,0,1545.6950453945942,3.2891744589433074,-0.0164008446600633,0.7607182343065395,0.5166887344656745,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,8,0,1388.882005912565,3.25722191715613,-0.0281815015994075,0.7607182343065395,0.6145345182625096,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,9,0,1328.189759717102,3.282807749696076,-0.0279584743671711,0.7607182343065395,0.6517895680929962,0.4254967206148851
adult,PCA_2D,105,2,KMeans_FEKM,10,0,1288.303513370382,4.676630000118166,-0.0275215018310511,0.7628884976045207,0.6817794687602285,0.4254793706696724
adult,PCA_3D,105,3,KMeans_FEKM,2,0,37321.272709717174,3.538787166122347,0.1799041039987715,0.7607182343065395,0.8527623039721022,0.7357686020996449
adult,PCA_3D,105,3,KMeans_FEKM,3,0,23504.087938586337,3.5492222919128835,0.0427191238939326,0.7607182343065395,0.909558319822954,0.5489580372614801
adult,PCA_3D,105,3,KMeans_FEKM,4,0,19187.39059301943,6.583689999766648,0.0079337365555175,0.7607182343065395,0.9710223607806512,0.4886398393288064
adult,PCA_3D,105,3,KMeans_FEKM,5,0,14319.877182505825,3.709610417019576,0.045848214131752,0.7781827116006715,0.8467972510435076,0.4826571723750205
adult,PCA_3D,105,3,KMeans_FEKM,6,0,11450.209946266066,3.624853165820241,0.0365644940318728,0.7783669792391794,0.7466295311965975,0.4783844244343084
adult,PCA_3D,105,3,KMeans_FEKM,7,0,8501.079638323066,3.665364374872297,0.013985072687653,0.7782441341468408,0.7641504169558536,0.3738619982228917
adult,PCA_3D,105,3,KMeans_FEKM,8,0,8750.52923772358,3.579338790848851,0.0131780792096386,0.7787969370623644,0.8768843733658942,0.399583661307807
adult,PCA_3D,105,3,KMeans_FEKM,9,0,6339.841574969237,3.7239574999548495,0.0032105925244066,0.779022153064985,0.7228979324239586,0.3292671581701003
adult,PCA_3D,105,3,KMeans_FEKM,10,0,5973.028891317205,3.98543475009501,0.0026940986458581,0.779022153064985,0.7296833810316729,0.3291442269723816
adult,PCA_5D,105,5,KMeans_FEKM,2,0,60404.660937009816,6.609654707834125,0.1799688967232286,0.7607182343065395,1.122151735205989,0.7358049569888062
adult,PCA_5D,105,5,KMeans_FEKM,3,0,45475.28708996046,4.069853000342846,0.0427510482988432,0.7607182343065395,1.304124798562939,0.5465316562277536
adult,PCA_5D,105,5,KMeans_FEKM,4,0,39717.341975290576,4.0857110833749175,0.0027758646462645,0.7607182343065395,1.197893164847077,0.4786449702408983
adult,PCA_5D,105,5,KMeans_FEKM,5,0,35397.51518812477,4.110201625153422,0.044545694355599,0.77916547233938,1.2517529393751832,0.4552777077546966
adult,PCA_5D,105,5,KMeans_FEKM,6,0,31200.408275642352,4.146797583438456,0.024130748922606,0.7791245239752672,1.3599015190243946,0.3553052709974732
adult,PCA_5D,105,5,KMeans_FEKM,7,0,28246.65082288494,4.284477416891605,0.0122645264399069,0.77916547233938,1.322658763021128,0.3384939243736862
