dataset,algorithm,n_components,init_params,runtime_sec,bic,avg_log_likelihood,run_id,runtime,ari,purity,davies_bouldin,f_measure
mushroom,GaussianMixture,3,random_from_data,0.2037212080322206,-595689.2346279547,47.18027888568279,3,0.20383883314207196,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.20177404070273042,-595689.2346279547,47.18027888568279,4,0.20186575036495924,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.20348516572266817,-595689.2346279547,47.18027888568279,5,0.20364341605454683,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.2257012501358986,-595689.2346279547,47.18027888568279,6,0.2259630411863327,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.2209629169665277,-595689.2346279547,47.18027888568279,7,0.22103233309462667,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.20184975024312735,-595689.2346279547,47.18027888568279,8,0.201923375017941,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.20812470791861415,-595689.2346279547,47.18027888568279,9,0.20828941697254777,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,4,kmeans,0.14482766576111317,-566837.533954569,48.91074493820998,0,0.14538791682571173,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.1437505418434739,-566837.533954569,48.91074493820998,1,0.14408362470567226,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.14624099992215633,-566837.533954569,48.91074493820998,2,0.14674749970436096,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.14091770816594362,-566837.533954569,48.91074493820998,3,0.14102079067379236,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.1381395417265594,-566837.533954569,48.91074493820998,4,0.13821900030598044,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.1453091250732541,-566837.533954569,48.91074493820998,5,0.14539224980399013,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.1486209169961512,-566837.533954569,48.91074493820998,6,0.14870412508025765,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.14454354206100106,-566837.533954569,48.91074493820998,7,0.14485154207795858,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.14459612499922514,-566837.533954569,48.91074493820998,8,0.1446270002052188,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,kmeans,0.1445110416971147,-566837.533954569,48.91074493820998,9,0.1445944169536233,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722
mushroom,GaussianMixture,4,random,0.2666607918217778,-558606.4528976216,48.40415452357757,0,0.2668654168955982,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.2719762083142996,-558606.4528976216,48.40415452357757,1,0.2720923749729991,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.2678241250105202,-558606.4528976216,48.40415452357757,2,0.267895707860589,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.2692173342220485,-558606.4528976216,48.40415452357757,3,0.2693748753517866,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.26607483392581344,-558606.4528976216,48.40415452357757,4,0.26617725007236004,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.26866737473756075,-558606.4528976216,48.40415452357757,5,0.26875737495720387,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.26651754090562463,-558606.4528976216,48.40415452357757,6,0.2666988749988377,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.267728416249156,-558606.4528976216,48.40415452357757,7,0.2678246656432748,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.26492212526500225,-558606.4528976216,48.40415452357757,8,0.2650404581800103,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,random,0.2641563341021538,-558606.4528976216,48.40415452357757,9,0.2642986671999097,0.32507089490849245,0.5760709010339734,2.731640674241639,0.548760932797301
mushroom,GaussianMixture,4,k-means++,0.24539437517523766,-569729.2974197513,49.088721517800224,0,0.24545187503099442,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.24197470862418413,-569729.2974197513,49.088721517800224,1,0.24210929218679667,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.24772162502631545,-569729.2974197513,49.088721517800224,2,0.2478244579397142,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.2448173752054572,-569729.2974197513,49.088721517800224,3,0.24494570773094893,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.24424308398738503,-569729.2974197513,49.088721517800224,4,0.24444329226389527,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.2433352922089398,-569729.2974197513,49.088721517800224,5,0.24356245901435614,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.24629837507382035,-569729.2974197513,49.088721517800224,6,0.24639941658824682,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.24345541698858142,-569729.2974197513,49.088721517800224,7,0.24355249991640449,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.24320245813578367,-569729.2974197513,49.088721517800224,8,0.24329079175367951,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,k-means++,0.24423875007778406,-569729.2974197513,49.088721517800224,9,0.24433391634374857,0.15617473247564595,0.517479074347612,1.8193995066663,0.48887900283147784
mushroom,GaussianMixture,4,random_from_data,0.27099587488919497,-569904.9978610566,49.09953518356249,0,0.27108475007116795,0.18224875696639517,0.5204332840965041,1.9345246489536976,0.5064278227597032
mushroom,GaussianMixture,4,random_from_data,0.2716860417276621,-569904.9978610566,49.09953518356249,1,0.2718641245737672,0.18224875696639517,0.5204332840965041,1.9345246489536976,0.5064278227597032
