dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id
pen-based,GaussianMixture,,,,0.14338920800946653,0.1484084159892518,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,7.0
pen-based,GaussianMixture,,,,0.14215420800610445,0.14739354199264199,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,8.0
pen-based,GaussianMixture,,,,0.1411030830058735,0.14625025002169423,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,9.0
pen-based,GaussianMixture,,,,0.19148429099004716,0.19715762499254197,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,0.0
pen-based,GaussianMixture,,,,0.1873705420002807,0.19286908299545757,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,1.0
pen-based,GaussianMixture,,,,0.19076154101639986,0.1964964999933727,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,2.0
pen-based,GaussianMixture,,,,0.1930066250206437,0.19875316598336212,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,3.0
pen-based,GaussianMixture,,,,0.19429100002162158,0.1998242499830667,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,4.0
pen-based,GaussianMixture,,,,0.1915336250094697,0.19715379201807082,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,5.0
pen-based,GaussianMixture,,,,0.19086858397349715,0.1967334169894457,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,6.0
pen-based,GaussianMixture,,,,0.19113379099871963,0.19723516699741594,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,7.0
pen-based,GaussianMixture,,,,0.19177720800507814,0.19751162501052022,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,8.0
pen-based,GaussianMixture,,,,0.18775162499514408,0.19362929102499038,0.3776707635681972,0.552674672489083,1.4009693204966949,0.628449996469823,6.0,kmeans,-282340.01157247915,13.231105621212741,9.0
pen-based,GaussianMixture,,,,0.24847958399914205,0.2548489159962628,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,0.0
pen-based,GaussianMixture,,,,0.2486192090145778,0.2552136249723844,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,1.0
pen-based,GaussianMixture,,,,0.2499080419947859,0.25573995799641125,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,2.0
pen-based,GaussianMixture,,,,0.2489731250097975,0.25496004201704636,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,3.0
pen-based,GaussianMixture,,,,0.24576679099118337,0.2516817499999888,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,4.0
pen-based,GaussianMixture,,,,0.24657783401198685,0.2526310419780202,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,5.0
pen-based,GaussianMixture,,,,0.24537370802136138,0.25121937500080094,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,6.0
pen-based,GaussianMixture,,,,0.24812904198188335,0.25428287498652935,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,7.0
pen-based,GaussianMixture,,,,0.24886108297505416,0.2547881670179777,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,8.0
pen-based,GaussianMixture,,,,0.2509062500030268,0.25719533397932537,0.4206891796145141,0.6078056768558951,1.4724224590683543,0.6447986011846076,7.0,kmeans,-304980.1195090083,14.325709021765046,9.0
pen-based,GaussianMixture,,,,0.21086741599719971,0.21803324998472817,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,0.0
pen-based,GaussianMixture,,,,0.20754779200069606,0.21489945802022703,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,1.0
pen-based,GaussianMixture,,,,0.20854158399743028,0.21524724998744205,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,2.0
pen-based,GaussianMixture,,,,0.20736708299955353,0.21441245800815523,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,3.0
pen-based,GaussianMixture,,,,0.20646970902453177,0.21376737498212606,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,4.0
pen-based,GaussianMixture,,,,0.20656508300453424,0.21372358399094082,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,5.0
pen-based,GaussianMixture,,,,0.20445370898232795,0.21118141699116677,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,6.0
pen-based,GaussianMixture,,,,0.2072079160134308,0.21449025001493283,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,7.0
pen-based,GaussianMixture,,,,0.20875458299997263,0.21536395800649188,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,8.0
pen-based,GaussianMixture,,,,0.20716625000932254,0.21394533300190233,0.4757374343131245,0.6264556040756915,1.7894819854933903,0.6708430645223298,8.0,kmeans,-354363.7212565341,16.636810503239687,9.0
pen-based,GaussianMixture,,,,0.288601916981861,0.2958205830072984,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,0.0
pen-based,GaussianMixture,,,,0.28874254200491123,0.29565387501497753,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,1.0
pen-based,GaussianMixture,,,,0.29228145797969773,0.2997887920064386,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,2.0
pen-based,GaussianMixture,,,,0.2902583749964833,0.2978141249914188,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,3.0
pen-based,GaussianMixture,,,,0.28908899999805726,0.2965987909992691,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,4.0
pen-based,GaussianMixture,,,,0.2918256669945549,0.29916512497584336,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,5.0
pen-based,GaussianMixture,,,,0.292050999996718,0.2994222499837633,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,6.0
pen-based,GaussianMixture,,,,0.2877465420169756,0.2951157500210684,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,7.0
pen-based,GaussianMixture,,,,0.28580225000041537,0.2927228340122383,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,8.0
pen-based,GaussianMixture,,,,0.2963525419763755,0.30362520800554194,0.5460121176344128,0.6864992721979621,1.740549749515744,0.7190242179519523,9.0,kmeans,-360136.9361792062,16.964178959566325,9.0
pen-based,GaussianMixture,,,,0.31018566599232145,0.31833212499623187,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,0.0
pen-based,GaussianMixture,,,,0.3139404999965336,0.32210220900014974,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,1.0
pen-based,GaussianMixture,,,,0.30734583298908547,0.3156804999744054,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,2.0
pen-based,GaussianMixture,,,,0.3105527499865275,0.3185261669859756,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,3.0
pen-based,GaussianMixture,,,,0.3107657500077039,0.31870458301273175,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,4.0
pen-based,GaussianMixture,,,,0.30747879200498573,0.3154692079988308,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,5.0
pen-based,GaussianMixture,,,,0.31677900001523085,0.3250944160099607,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,6.0
pen-based,GaussianMixture,,,,0.3106712499866262,0.319132249976974,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,7.0
pen-based,GaussianMixture,,,,0.3104947920073755,0.31856095799594186,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,8.0
pen-based,GaussianMixture,,,,0.3134799579856917,0.3218445419915952,0.5414458929361521,0.7054221251819505,1.6702957039932411,0.7195413839400854,10.0,kmeans,-368226.31280379964,17.39690411630787,9.0
adult,GaussianMixture,,,,0.4545869170106016,0.5040182920056395,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,0.0
adult,GaussianMixture,,,,0.4051899579935707,0.4533249590022024,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,1.0
adult,GaussianMixture,,,,0.40414733401848935,0.4521844999981113,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,2.0
adult,GaussianMixture,,,,0.4174088750150986,0.46668162499554455,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,3.0
adult,GaussianMixture,,,,0.4039807500084862,0.45246525001130067,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,4.0
adult,GaussianMixture,,,,0.4037280000047758,0.45187862499733455,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,5.0
adult,GaussianMixture,,,,0.40451533399755135,0.45308837498305365,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,6.0
adult,GaussianMixture,,,,0.40881537497625686,0.4577771659824066,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,7.0
adult,GaussianMixture,,,,0.4003572079818696,0.44932133398833685,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,8.0
adult,GaussianMixture,,,,0.40573833297821693,0.4540073329990264,0.1840859681608094,0.7607182343065395,2.0570754284158683,0.7381626874108039,2.0,kmeans,-17719858.02701316,182.65324296311638,9.0
adult,GaussianMixture,,,,0.8488892500172369,0.917964459018549,0.24909027536149825,0.8081773883133369,2.7958193380087377,0.7470145685200248,3.0,kmeans,-19639809.633750647,202.93473925942263,0.0
adult,GaussianMixture,,,,0.8495564170007128,0.920775209000567,0.24909027536149825,0.8081773883133369,2.7958193380087377,0.7470145685200248,3.0,kmeans,-19639809.633750647,202.93473925942263,1.0
adult,GaussianMixture,,,,0.8699941669765394,0.9405634580180049,0.24909027536149825,0.8081773883133369,2.7958193380087377,0.7470145685200248,3.0,kmeans,-19639809.633750647,202.93473925942263,2.0
adult,GaussianMixture,,,,0.841943084000377,0.9123526669864077,0.24909027536149825,0.8081773883133369,2.7958193380087377,0.7470145685200248,3.0,kmeans,-19639809.633750647,202.93473925942263,3.0
