dataset,algorithm,n_clusters,metric,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
pen-based,KMeans_PP,5,manhattan,6,28102.554890510983,0.03176012495532632,0.3442424968190787,0.43913755458515286,1.3509761964545925,0.5271066126103424
pen-based,KMeans_PP,5,manhattan,7,28248.82234792036,0.055807166965678334,0.33713056244490475,0.4398653566229985,1.3108125263078019,0.5107239428045895
pen-based,KMeans_PP,5,manhattan,8,27791.120633384762,0.044332874938845634,0.35388998172228975,0.4581513828238719,1.4344575560768782,0.5038608199307689
pen-based,KMeans_PP,5,manhattan,9,27783.953713446117,0.033408791990950704,0.3630899389748818,0.4804403202328967,1.3436252390044712,0.5188699002228482
pen-based,KMeans_PP,6,euclidean,0,7044.251119805254,0.0244745840318501,0.4113651103252088,0.5185589519650655,1.4776150673450603,0.5767819721009956
pen-based,KMeans_PP,6,euclidean,1,6629.022611959828,0.06433145795017481,0.4188354313668209,0.5430312954876274,1.242698524137894,0.5941140500882471
pen-based,KMeans_PP,6,euclidean,2,6628.986201430074,0.035964959068223834,0.4194731667576914,0.5434861717612809,1.2431476533798058,0.5942314673199693
pen-based,KMeans_PP,6,euclidean,3,6628.990046539408,0.031778084114193916,0.4194731667576914,0.5434861717612809,1.2431476533798058,0.5942314673199693
pen-based,KMeans_PP,6,euclidean,4,6628.96126760668,0.07011649990454316,0.41876984943315754,0.5430312954876274,1.2424949182685927,0.5941226116431596
pen-based,KMeans_PP,6,euclidean,5,6628.96126760668,0.07021600008010864,0.41876984943315754,0.5430312954876274,1.2424949182685927,0.5941226116431596
pen-based,KMeans_PP,6,euclidean,6,6628.992956949844,0.021331208059564233,0.4187303421667016,0.5430312954876274,1.2427275218381097,0.5938542036052079
pen-based,KMeans_PP,6,euclidean,7,7637.22758086324,0.026570958085358143,0.3456987848176505,0.5006368267831149,1.6201004994961485,0.5520931682354178
pen-based,KMeans_PP,6,euclidean,8,7344.281229463687,0.07911199983209372,0.3714468651635597,0.5129184861717613,1.5431215034174544,0.5374003342334119
pen-based,KMeans_PP,6,euclidean,9,6988.641150351497,0.027938209008425474,0.4175987682503776,0.5402110625909753,1.2458119614457077,0.5780351902431391
pen-based,KMeans_PP,6,manhattan,0,26033.235215813977,0.05762095912359655,0.3895218898827554,0.5165574963609898,1.355736185450272,0.5594113745171381
pen-based,KMeans_PP,6,manhattan,1,26031.37967045568,0.03582400013692677,0.38977463113589866,0.5170123726346434,1.3565263304533417,0.5597147733053413
pen-based,KMeans_PP,6,manhattan,2,26028.39359417742,0.07521191705018282,0.3913796661583404,0.5203784570596798,1.3523950030117833,0.561351443107421
pen-based,KMeans_PP,6,manhattan,3,26028.39359417742,0.07277079205960035,0.3913796661583404,0.5203784570596798,1.3523950030117835,0.561351443107421
pen-based,KMeans_PP,6,manhattan,4,26033.25373457651,0.03680150001309812,0.3895472179467189,0.5165574963609898,1.3555780752360038,0.5594082592664134
pen-based,KMeans_PP,6,manhattan,5,26031.190700182902,0.04496654192917049,0.3895597796811211,0.5172852983988355,1.355275270209539,0.5592977319183163
pen-based,KMeans_PP,6,manhattan,6,26027.088449054074,0.03437149990350008,0.39116317243624443,0.519650655021834,1.3534932982947467,0.5612549981484486
pen-based,KMeans_PP,6,manhattan,7,26029.08593208267,0.060498832957819104,0.3909024889454288,0.5192867540029112,1.3537685699109643,0.5609847435121021
pen-based,KMeans_PP,6,manhattan,8,26032.124378571018,0.09536862489767373,0.38983822422499464,0.5178311499272198,1.3547589896013659,0.5597349426885746
pen-based,KMeans_PP,6,manhattan,9,25870.41612468087,0.02303266618400812,0.41567105616393607,0.5379366812227074,1.276425887690943,0.5743416164301189
pen-based,KMeans_PP,7,euclidean,0,5999.417161958507,0.058433416998013854,0.47302837033923206,0.5967066957787481,1.2362768581209502,0.6407449181998967
pen-based,KMeans_PP,7,euclidean,1,6268.14786496538,0.06319812498986721,0.4091933190662637,0.5515829694323144,1.2894084423700352,0.5863101829571037
